quote,author,category
"Some people are bringing the business tricks of scarcity mentality into God's mind. They will tell you that only a few will see God. Why? God's heart is infinitely huge, his arms infinitely large that all of us can have a place in him","Bangambiki Habyarimana, Pearls Of Eternity","god-s-unconditional-love, god-s-unending-favors, messiah, messiah-quotes, messiahs, salvation, salvation-by-grace, salvation-by-works, salvation-in-death, salvation-of-the-world, salvation-quotes, save, save-me, saved, saved-by-christ, saved-by-grace, saved-from-sin, saved-from-sins, saved-souls, savior, savior-quotes, scarcity, scarcity-mentality, scarcity-quotes, unconditional-acceptance, unconditional-love, unconditional-love-quote, unconditional-love-quotes"
"We know that al Qaeda in the Arabian Peninsula has some very dangerous, very important leaders who are tied directly to the top leadership of al Qaeda central, including a man who was formerly Osama bin Laden's secretary.",Richard Engel,"Man, Important, Know "
"God has given us all our unique story. It's not one that flows easily or pretty, but the story is ours! Find it and treasure it...","Deborah L. Parker, Navigating Life's Roadways: Stories of Insight from My Odyssey and Inspiration for Your Journey","faith, inspiration, memoir, personal-growth"
"that this is Russian-A flu, not the more dangerous Swine flu.","Stephen King, The Stand",kindlehighlight
"Laugh to be refreshed, discover to be surprised, accept and celebrate differences to be happy",Val Uchendu,"acceptance-quotes, celebrate, differences, discover, happy-quotes, inspire-quotes, laughter-quotes, wisdom-quotes"
"I'm too busy being the bad guy.” It was one of those things that get said in a marriage, something that starts out as a genuine compliment but turns into a criticism without either party noticing or caring all that much.","Sarah Dunn, The Arrangement",marriage
She believed in nothing. Only her scepticism kept her from being an atheist.,Jean-Paul Sartre,"atheism, belief, scepticism, skepticism"
"The Wind that Blows, the Water that Flows, the Sun that Glows, are all proof that a Power exists. Believe and Experience the Universal Power.",RVM,"inspiration, motivation"
"If I were to go back in time with the knowledge that I have today about Electromagnetic Hypersensitivity (EHS), I would invest the money into changing the electrical characteristics of my body and exhaust that route first, particularly if no one else in the home is showing the condition. If everyone is sick in the home, it is probably an environmental issue that warrants expense on changing the environmental factors.",Steven Magee,"back, body, changing, characteristics, condition, ehs, electrical, electromagnetic, environmental, everyone, exhaust, expense, factors, first, home, hypersensitivity, invest, issue, knowledge, money, particularly, route, showing, sick, time, today, warrants"
"Every woman, hell, every man should be a feminist, that is the only way to render this word obsolete.","Aysha Taryam, The Opposite of Indifference: A Collection of Commentaries",feminism
It is in his obsessions that mankind most closely resembles his machines.,"Matthew De Abaitua, If Then",obsession
"For LongingBlessed be the longing that brought you hereAnd quickens your soul with wonder.May you have the courage to listen to the voice of desireThat disturbs you when you have settled for something safe.May you have the wisdom to enter generously into your own uneaseTo discover the new direction your longing wants you to take.May the forms of your belonging—in love, creativity, and friendship—Be equal to the grandeur and the call of your soul.May the one you long for long for you.May your dreams gradually reveal the destination of your desire.May a secret Providence guide your thought and nurture your feeling.May your mind inhabit life with the sureness with which your body inhabits the world.May your heart never be haunted by ghost-structures of old damage.May you come to accept your longing as divine urgency.May you know the urgency with which God longs for you.","John O'Donohue, To Bless the Space Between Us: A Book of Blessings",blessings
"Did you ever think it won’t be the undead who kill us, but ordinary people?","Steven Ramirez, Tell Me When I'm Dead","chaos, cheated, contagion, crazies, dead, death, drunk, hell-on-earth, horde, hordes, horror, horror-fantasy, na, new-adult, novel, paramilitary, paranormal-thriller, quarantine, revenge, soldier, soldiers, thriller, undead-thriller, weapon, weapons, zombie, zombie-apocalypse, zombie-horror, zombie-thriller, zombies"
"I would rather be a devil in alliance with truth, than an angel in alliance with falsehood.","Ludwig Feuerbach, The Essence of Christianity","angel, character, devil, falsehood, inspirational, truth"
American planes full of holes and wounded men and corpses took off backwards from an airfield in England. Over France a few German fighter planes flew at them backwards sucked bullets and shell fragments from some of the planes and crewmen. They did the same for wrecked American bombers on the ground and those planes flew up backwards to join the formation. The formation flew backwards over a German city that was in flames. The bombers opened their bomb bay doors exerted a miraculous magnetism which shrunk the fires gathered them into cylindrical steel containers and lifted the containers into the bellies of the planes. The containers were stored neatly in racks. The Germans below had miraculous devices of their own which were long steel tubes. They used them to suck more fragments from the crewmen and planes. But there were still a few wounded Americans though and some of the bombers were in bad repair. Over France though German fighters came up again made everything and everybody as good as new. When the bombers got back to their base the steel cylinders were taken from the racks and shipped back to the United States of America where factories were operating night and day dismantling the cylinders separating the dangerous contents into minerals. Touchingly it was mainly women who did this work. The minerals were then shipped to specialists in remote areas. It was their business to put them into the ground to hide them cleverly so they would never hurt anybody ever again.,"Kurt Vonnegut Jr., Slaughterhouse-Five",war
"My days of torment were over, but the damage was done. I conflated the bullies and my bathroom accidents with an inchoate sense that something was wrong with me. I broadcast my sense of otherness through my slumped posture, downcast expression, and extreme timidity. Kids at school called weird so often that after a while I believed them. I hid myself behind a curtain of tangled hair.","Alysia Abbott, Fairyland: A Memoir of My Father","bullying, childhood, shyness"
Meditation is act of thinking purely.,Lailah Gifty Akita,"inspiring, meditation, pure-thoughts, thinking"
"How aware are we of our own inner life, our spirituality-something so intangible yet so priceless? How much effort do we make to perceive that which is not obvious, which can neither be seen nor heard? I believe the exploration and enrichment of the human spirit is what determines our very humanity. Such enrichment provides an inner compass that can lead civilizations to greatness.",Daisaku Ikeda,"buddhism, destiny, happiness, humanism, inspirational, karma, peace, self-reformation"
"Como siempre, la consideración de su muerte lo serenaba tanto como lo turbaba la muerte de los demás. Tal vez porque, a fin de cuentas, su muerte era el final del mundo.","Giuseppe Tomasi di Lampedusa, The Leopard",death
"If your heart is conflicted, teach it to be unrestricted.",Nikki Rowe,"awaken, awakening, balance, brave-heart, courage, explore, growth, heart, hope, inner-being, inner-growth, kindness, lessons, love, love-quotes-and-saying, love-yourself-first, possibility, self-love, soul, understanding"
"There must be a mistake,"" I said. He adjusted his bag on his shoulder. ""That's a creative name. What do you shorten it to? Missy?","Chelsea M. Cameron, My Favorite Mistake","humor, hunter-zaccadelli"
"Every single good person is a good person for their own sake, not for the sake of humanity, not even for the sake of another human being.","Mokokoma Mokhonoana, The Selfish Genie: A Satirical Essay on Altruism","altruism, charity, compassion, empathy, gene, genes, genie, ghandi, good, humanity, humor, humour, mahatma-ghandi, mandela, mercy, mother-teresa, nelson-mandela, philosopher, philosophy, satire, selfishness, selflessness, social-criticism, sympathy, teresa, unselfishness"
"Prayer is not simply a soliloquy, a mere exercise in therapeutic self-analysis, or a religious recitation. Prayer is discourse with the personal God Himself.","R.C. Sproul, Does Prayer Change Things?","god, jesus, prayer, prayer-life"
The last declaration he'd made to me hung between us. The L word. The one that had nothing to do with like.,"Priya Ardis, My Merlin Awakening","arthurian, chick-lit, coming-of-age, e-books, ebooks, fairy-tales, fantasy, heroic-fantasy, mythology, paranormal, paranormal-romance, retellings, sword-and-sworcery, urban-fantasy, wizards, ya-paranormal, ya-romance, young-adult, young-adult-fantasy"
