quote,author,category
"Understanding the competitive forces, and their underlying causes, reveals the roots of an industry’s current profitability while providing a framework for anticipating and influencing competition (and profitability) over time. P. 26","Michael E. Porter, HBR's 10 Must Reads on Strategy","competition, competitive-forces, strategic, strategy"
"Well, enough of this introspection. It’s depressing, quite frankly.","Sol Luckman, Snooze: A Story of Awakening","comedy, depressing, depression, funny, humor, introspection, joke, mental, reflection, thinking, thought, thoughtfulness, wit, witty"
"The mind of an artist never sleeps, because dreaming is when they do their best work.",Mark W. Boyer,"artists-quotes, goals, inspirational-quotes-for-writers, motivational-inspirational, writing"
People only stone a tree that is full of ripe fruit.,Matshona Dhliwayo,"criticism-quotes, envy-quotes, haters-quotes, jelous-quotes, jelousy-quotes, matshona-dhliwayo-quotes, motivation-quotes, wisdom-quotes"
"It answers the question that was tormenting you: my love, you are not 'one thing in my life' - not even the most important - because my life no longer belongs to me because...you are always me.",Jean-Paul Sartre,"identity, love, personal-papers"
Regular and concentrated training makes an expert.,"Rajen Jani, Once Upon A Time: 100 Management Stories","anger, change, communication, conflict, customer, improvement, inspirational, knowledge, leadership, management, motivation, performance, problem, quality, relationship, sales, strategy, success, team, time, training, work"
"The things that really shake the human soul aren't beauty or kindness. Although such things are certainly moving, but those feelings don't last long. But... anger or sadness are different. They leave an undelible mark. Even after the wound heals... you can never forget the pain completely.","Fuyumi Soryo, Mars, Volume 05","anger, feelings, mars, pain, soryo"
If you make friends with yourself you will never be alone.,Maxwell Maltz,"Friends, Yourself, You "
I slept for four years. I didn't study much of anything. I majored in something called communication arts.,Don DeLillo,"Study, Years, Anything "
"What are you doing?”Celaena lifted another piece of paper. “If His Pirateness can’t be bothered to clean for us, then I don’t see why I can’t have a look.”“He’ll be here any second,” Sam hissed. She picked up a flattened map, examining the dots and markings along the coastline of their continent. Something small and round gleamed beneath the map, and she slipped it into her pocket before Sam could notice.“Oh, hush,” she said, opening the hutch on the wall adjacent to the desk. “With these creaky floors, we’ll hear him a mile off.” The hutch was crammed with rolled scrolls, quills, the odd coin, and some very old, very expensive-looking brandy. She pulled out a bottle, swirling the amber liquid in the sunlight streaming through the tiny porthole window. “Care for a drink?","Sarah J. Maas, The Assassin's Blade","celaena-sardothien, humorous-quotes, sam-cortland, sass"
When I was a child  I spake as a child  I understood as a child  I thought as a child  but when I became a man  I put away childish things.,Anonymous,childhood
Love sets the foundation for all human values.,Milan LaBrey,"love, morality, spiritual-growth, spiritual-quotes, spirituality, values"
Heart - FamilyBody - LazyMind - WorkSoul - Happy,Adil Adam Memon,truth
"The back barn door opened, and in walked a vision in a billowing green dress. As she led in her mare, Mr. McBride’s voice faded away as Tom’s total attention turned to the girl. About twenty-one or two, Tom guessed. Not too tall, nor short. Beautiful heart-shaped face decorated with rosy cheeks and light freckles. Long auburn hair tied back in a ponytail. Perfectly set green eyes. Full-bosomed and hourglass shaped. Breathtaking.","C.G. Faulkner, Unreconstructed","beauty, love, romance, western"
You think her innocent/ Your little lost girl/ Caped in Inquisition red/ Yet when she leads you hunting Hyde/ Mind don't slay Jekyll in his stead,"Shannon Barnsley, Wolf Warriors: the National Wolfwatcher Coalition","fairy-tale, poetry, poetry-quotes"
"When you look down on yourself, you set an example on how others should treat you.","Bangambiki Habyarimana, Pearls Of Eternity","all-is-yours, believe-in-yourself, believe-in-yourself-quotes, confidence, confidence-and-attitude, confidence-and-trust, confidence-boost, confidence-building, confidence-quotes, create-your-future, create-your-life, create-your-reality, create-your-world, inspirational, inspirational-attitude, inspirational-life, inspirational-living, inspirational-quote, inspirational-quotes, inspire, inspired, inspired-life, inspired-living, inspired-mind, inspired-quotes, inspired-soul, look-down, motivate, motivate-myself, motivate-yourself, motivated, motivation, motivational, motivational-enlightenment, motivational-quote, motivational-quotes, positive, positive-attitude, positive-mindset, positive-motivation, positive-outlook, positive-quotes, positive-thinking, positive-thinking-quotes, positive-thought, positive-thoughts, words-of-revelation, words-of-wisdom, words-of-wisdom-inspirational, words-to-inspire-you, words-to-live-by, words-to-ponder, you-are-a-god, you-are-great, you-are-powerful, you-are-the-universe, you-create-things-by-your-mouth"
"This is your heritage,' he said, as if from this dance we could know about his own childhood, about the flavor and grit of tenement buildings in Spanish Harlem, and projects in Red Hook, and dance halls, and city parks, and about his own Paps, how he beat him, how he taught him to dance, as if we could hear Spanish in his movements, as if Puerto Rico was a man in a bathrobe, grabbing another beer from the fridge and raising it to drink, his head back, still dancing, still steeping and snapping perfectly in time.","Justin Torres, We the Animals","identity, puerto-rico"
"The bottom line is that the human body is complex and subtle, and oversimplifying - as common sense sometimes impels us to do - can be hazardous to your health.",Andrew Weil,"Body, Common Sense, Human "
"For years, my mom dated a man who was really active in the Baptist church in the town next to the town I grew up in, and so he used to drag me to these Baptist church services that lasted forever. I remember that I didn't like the church services, but I really liked the music.",Moby,"Music, Man, Me "
"But heroes, at times, had to be fools.","Steve Berry, The Venetian Betrayal","fools, heroes"
Opinions founded on prejudice are always sustained with the greatest violence.,Lord Francis Jeffrey,prejudice
All hell broke loose.,John Milton,hell
How do we keep convincing young people to die in fights they didn’t start for reasons we’re too devious to tell the truth about? It’s way too easy for governments to spend other people’s blood. Maybe only the sons and daughters of those who declare the wars should be allowed to fight and die.,"Dan Groat, An Enigmatic Escape: A Trilogy","blood, death, declaring-war, die, fight, fights, government, lie, lies, truth, war"
"Let's just stand still. Maybe whoever it is won't notice us. It's dark out anyway."" Both boys knew it could just be someone from the local village but their hearts were starting to beat faster anyways. Who wound be out at this time of night? Suddenly, out from the darkness came a voice. ""I'll get you you mangy little...."" There was the sound of something flying through the air and then a plunk as it landed somewhere nearby. Lionel winced. The voice was female.",Sadie Gray,"archery, funny, girl, hiding-things, lionel"
"Don't keep looking for ""something"" in the bag of ""nothing"". You will see the same thing again and again no matter how many times you repeat the look.","Israelmore Ayivor, The Great Hand Book of Quotes","again, bag, don-t, food-for-thought, how-many-times, israelmore-ayivor, keep-looking, look, matter, nothing, repeat, right-place, see, similar, something, the-same, time, watch, write-position"
A killer on the payroll isn't good for business,"L.A. Larkin, Devour","adventure, antarctica, murder, mystery, thriller"
"The sudden loss of her father was like living with a wound that would never heal, yet her memories of him were fading more and more every day.","Frank Beddor, Seeing Redd","coping, daughter, death, father, loss, memories"
"She’d bought a blue notebook in the pharmacy to write down her aunt’s remedies. Star tulip to understand dreams, bee balm for a restful sleep, black mustard seed to repel nightmares, remedies that used essential oils of almond or apricot or myrrh from thorn trees in the desert. Two eggs, which must never be eaten, set under a bed to clean a tainted atmosphere. Vinegar as a cleansing bath. Garlic, salt, and rosemary, the ancient spell to cast away evil.","Alice Hoffman, The Rules of Magic",magic
Man is what he reads.,Joseph Brodsky,"man, read, reading"
The best way to vanquish your enemies on the Internet? Ignore them. ,"Austin Kleon, Steal Like an Artist: 10 Things Nobody Told You About Being Creative","enemies, humor, ignore, internet, life-hacks"
"There was a saying in our family that no one ever died; people just dried up, were hung on a hook, and conducted their affairs from there.","Mildred Armstrong Kalish, Little Heathens: Hard Times and High Spirits on an Iowa Farm During the Great Depression","death, family"
"I wonder, with all the flowers in the garden, how many of them ever think of hanging themselves with the garden hose, if ever they can.",Anthony Liccione,"beauty, depression, end, flowers, garden, hanging, hidden-motives, hide, hose, sadness-behind-a-smile, suicide, thoughts, unhappy"
"Courage comes in different forms. There's strength--that's the muscle. But love's the heart. When you put them together, you can do anything.",Nora Roberts,courage
"In blink of an eye everything can change, so forgive often and love all your heart. You may never know when you may not have the chance again.. Good to you all..",Dr. Karan M Pai,"forgiveness, life-and-living, tomorrow-will-be-better"
"We tend not to look at the bigger picture of our lives and instead dwell on the small things that irritate us. When we focus on the bigger picture, those small things fade away.",Ron Baratono,"dwell, focus, irritation, life"
"To me, nudity is a joke. I don't think nude people are very attractive at all. I like my women fully clothed. I like to imagine what might be under there. It might not be the standard thing. Imagine, stripping a woman down, and she has a body like a little submarine. With periscope, propellers, torpedoes. That would be the one for me. I'd marry her right off and be faithful to the end.",Charles Bukowski,"hostage, humor"
"Believe in what makes you Healthy, because everything else is just garbage.",Gary   Hopkins,"common-sense, emotional-health, emotional-intelligence, healing, health, placebo, self-awareness, self-empowerment"
"Humility is, in a sense, admitting how egotistical you are.","Criss Jami, Killosophy","acknowledge, arrogance, ego, humility, paradox, pride"
"Time is, indeed, a strange and wondrous thing. It has no beginning or end, it seems. Time goes on, forward and backward, this way and that. But perspective is an illusion, for we know all things begin somewhere.","Sara Ella, Unraveling","illusion, perspective, time"
I raise the energiesof the people around me:my presence radiatesunconditional loveand inner peace.,"Human Angels, 365 Mantras for today","inner-peace, unconditional-love"
"The catering on 'True Blood' was so good - I'd be eating amazing doughnuts all day, then realised I was in danger of turning into a right fat faerie.",Robert Kazinsky,"Day, Good, Blood "
The happy and efficient people in this world are those who accept trouble as a normal detail of human life and resolve to capitalize it when it comes along.,H. Bertram Lewis,happy
Get some sleep. Our troubles will still be there on the morrow,"Sharon Kay Penman, Devil's Brood",life-experience
..for Africa was in a way none of them could explain linked up with heaven and they thought of the two places with the same reverence and ultimate longing.,"Elizabeth Yates, Amos Fortune, Free Man",africa
"Happiness is what happens when you build the level of awareness and courage to continuously identify, challenge, and replace your negative thoughts and beliefs.",,"beliefs, challenge, courage, edmond-mbiaka, experiences, happiness, identify, replace, your-level-of-awareness, your-negative-thoughts"
"I know nothing of being a wife, but I have learned much about the running and maintenance of an estate. It may be that you will find my manner too straightforward for your tastes, but, my lord, it is just that - my manner. Would that I die before I give up that part of me.","Denise Domning, Winter's Heat","confidence, feminism, gender-roles, manner, straightforwardness"
"From the systems point of view, it is evident that one of the main obstacles to organizational change is the — largely unconscious — embrace by business leaders of the mechanistic approach to management.",Fritjof Capra,"change, management"
"A good mother loves fiercely but ultimately brings up her children to thrive without her. They must be the most important thing in her life, but if she is the most important thing in theirs, she has failed.","Erin Kelly, The Burning Air","mothers, parenting"
"What does it mean to be human, to continue to live as human, to remain _faithful_ to the Divine while living in a cultural, sociogeopoltical, and religious world where power disparity between/among humans based on religious world where power disparity between/among humans based on their nationality, citizenship, gender, race, class, sexuality, ability, religion and so forth still prevails? The act of _theologizing_ for me involves responding to these questions and stimulating the practice of liberating and enlarging human possibility in our daily reality.","Namsoon Kang, Cosmopolitan Theology: Reconstituting Planetary Hospitality, Neighbor-Love, and Solidarity in an Uneven World","christianity, cosmopolitan, cosmopolitanism, religion, theology"
Space travel for everyone is the next frontier in the human experience.,Buzz Aldrin,"Travel, Experience, Human "
"Follow reason, but don’t ignore that gut feeling.",Debasish Mridha,"debasish-mridha, debasish-mridha-m-d, don-t-ignore-that-gut-feeling, follow-reason, gut-feeling, inspirational, philosophy, quotes"
"I dreamt of turrets and craggy ledges where the windswept rain blew in from the ocean with the odor of violets. A pale woman in Elizabethan dress stood beside my bed and whispered in my ear that the bells would ring. An old salt in an oilcloth jacket sat atop a piling, mending nets with an awl, while far out at sea a tiny aeroplane winged its way towards the setting sun.","Alan Bradley, The Sweetness at the Bottom of the Pie","color, dream, ocean, sea"
No wonder being a real Christian isn't popular. Who wants to suffer so they can find joy?,"Michelle Sutton, Letting Go",spiritual-wisdom
"The turning point for effective communication is actually hearing what is being said, rather than hearing what you want to hear instead.",Dannye Williamsen,communication
"No matter what has happened to you in the past or what is going on in your life right now, it has no power to keep you from having an amazingly good future if you will walk by faith in God. God loves you! He wants you to live with victory over sin so you can possess His promises for your life today!",Joyce Meyer,"Life, Future, Faith "
When you can't remember why you're hurt  that's when you're healed. When you have to work real hard to re-create the pain  and you can't quite get there  that's when you're better.,Jane Fonda,"worthy, victories"
People are lucky and unlucky ... according to the ratio between what they get and what they have been led to expect.,Samuel Butler,acceptance
"When a person realizes he has been deeply heard, his eyes moisten. I think in some real sense he is weeping for joy. It is as though he were saying, ""Thank God, somebody heard me. Someone knows what it's like to be me",Carl R. Rogers,communication
I bleed passion. I’m not entirely sure what this means but I’m greedy over the words. They’re so full of life. And I really need some life to balance out the desperate allure of the dark.,"Marley Jacobs, Goodnight, Nic","dark, desperate, greedy, life, passion, words"
I would rather be confused for 10 minutes than bored for 5 seconds.,Russell T. Davies,"advice, inspirational"
The English have an extraordinary ability for flying into a great calm.,Alexander Woollcott,"england, u, k, "
"I was remembering the things we had done together, the times we had had. It would have been pleasant to preserve that comradeship in the days that came after. Pleasant, but alas, impossible. That which had brought us together had gone, and now our paths diverged, according to our natures and needs. We would meet again, from time to time, but always a little more as strangers; until perhaps at last, as old men with only memories left, we could sit together and try to share them.","John Christopher, The Pool of Fire",friendship
"What criterion ought one to adopt to judge one's fellows? After all, there was not a single person he knew who might not, in certain circumstances, prove capable of a shameful action.","Marcel Proust, Swann's Way","friends, judging-others"
"Meet your people where they are. They may not be as good as they can be, but they are as good as they believe they can be. They are waiting for you to lead them.","Susan C. Foster, It's Not Rocket Science: Leading, Motivating and Inspiring Your Team To Be Their Best","business, leadership, management, teams"
Let me tell you something: you can not write good fiction about ideas. You can only write good fiction about people.,"Theodore Sturgeon, Sturgeon is Alive and Well",stories
"But I have been too deeply hurt, Sam. I tried to save the Shire, and it has been saved, but not for me. It must often be so, Sam, when things are in danger: some one has to give them up, lose them, so that others may keep them.","J.R.R. Tolkien, The Return of the King","hurt, salvation"
"The thing about a mom is that she's always there. She's the one who rubs your back when you have the flu, who manages to notice you have no clean underwear and does your wash for you, who stocks the refrigerator with all the foods you love without having to ask. The thing about a mom is that you never imagine taking care of her, instead of the other way around.","Jodi Picoult, Off the Page",emotional
There comes a time. The pain of existence transcends the fear of change. There comes a time.,"Moshe Kasher, Kasher in the Rye: The True Tale of a White Boy from Oakland Who Became a Drug Addict, Criminal, Mental Patient, and Then Turned 16","addiction, adolescence, drugs, recovery"
"A wash of relief poured through her, along with a kindling of hope. Her bridegroom wasn't Gauri; he wasn't even human. He was, however, congenial and gracious. She had proclaimed his appearance ghastly and his honesty handsome. Ildiko still stood by both opinions. She could have done infinitely worse. More than a few Gauri women had the misfortune to marry human men with handsome faces and ghastly souls.","Grace Draven, Radiance","appearances, marriage"
Doctrine is nothing but the skin of truth set up and stuffed.,Henry Ward Beecher,doctrine
Any change holds an opportunity.,"Daniel Egger, Future Value Generation: Do you need to create new Business Logics?","business-quotes, innovation, management, strategy"
I'm a real romantic.,Vanity,Real 
"All that we go through only happens to raise our vibrations. If we learn, we are raising it, the more we fight it, the lesser we learn, the more upset and unhappy we are.",Poonam Dhandhania,spiritual-growth
Some men just want to watch the world burn.,Christopher Nolan The Dark Knight,"batman-the-dark-knight, dark, evil-men"
"Gods, I love sports. All the excitement of real news, only it doesn't matter so you don't have to worry about it.","Max Gladstone, Full Fathom Five",sports
The lottery question might get you thinking about what you would do if talent and money didn't matter. But they do. The question twentysomethings need to ask themselves is what they would do with their lives if they didn't win the lottery.,"Meg Jay, The Defining Decade: Why Your Twenties Matter--And How to Make the Most of Them Now","choices, life, millennials, work"
"Children imitate their parents, employees their managers.",Amit Kalantri,"amit-kalantri, amit-kalantri-quotes, associates, business, child, children, copy, employee, employees, follow, following, hr, human-resources, imitate, inspirational, inspirational-quotes, inspiring, kid, kids, management, managers, motivation, motivational, motivational-inspirational, motivational-quotes, parents, philosophy"
Intervention only works when the people concerned seem to be keen for peace.,Nelson Mandela,"People, Intervention, Keen "
I begin by imagining The impossibleAnd end by accomplishingThe impossible.,"Sri Chinmoy, Sri Chinmoy's Heart Garden: A Book of Aphorisms for Joy and Inspiration","imagination, nothing-is-impossible"
"The greatest achievement was at first and for a time a dream. The oak sleeps in the acorn, the bird waits in the egg, and in the highest vision of the soul a waking angel stirs. Dreams are the seedlings of realities.",James Allen,"Time, Achievement, Vision "
"While seeking revenge, dig two graves - one for yourself.",Douglas Horton,"Revenge, Yourself, Two "
"We are supposed to believe [capitalist ideology] was the champion of freedom and prosperity in the epic struggle called the Cold War. If there was such a champion, might it not have been freedom itself, as realized in the institutional forms of democracy? This is not how the story has been told. We are t believe it was an economic system, capitalism, that arrayed its forces against its opposite, communism, and rescued all we hold dear. Yet in the new era... [capitalism] has shown itself very ready to devour what we hold dear, if the list can be taken to include culture, education, the environment, and the sciences, as well as the peace and well-being of our fellow citizens.",Marilynne Robinson,capitalism
"Across the valley, a waterfall stumbles down. In a month or two the really hard rains will come down for eighteen hours a day and that waterfall will once again become tough as a glacier and wash away the road. But now it looks as delicate as the path of a white butterfly in a long-exposed photograph.",Michael Ondaatje,"inspirational, nature, photography"
"When reality hurts, make sure to soar above the dream-stained sky!",Munia Khan,"above, dream, dreams, dreams-inspirational, dreams-quotes, hurt, hurt-feelings, hurts, inspirational, inspirational-quotes, make, reality, reality-of-life, sky, soar, soar-quote, soaring, soaring-quotes, stain, stained, sure, when"
No one is happy all his life long.,Euripides,"realistic, expectations"
"Most of us are living in a prison of our fixed, false beliefs and never try to find the door to get out to see and feel the beauty of life, even when the door is wide open and welcoming.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quotes, truth, wisdom"
"The smell of dead fish lingered in the air, and excited flies darted from fish to fish lapping up the decay.","S.W. Lothian, The Cursed Nile","action, adventure, middle-grade, mystery"
"When coming to making kids: Size doesn’t count, it’s sperm count that counts.",Mokokoma Mokhonoana,"child, children, conception, pregnancy, size, size-counts, sperm, sperm-count"
"Jo knew nothing about philosophy or metaphysics of any sort, but a curious excitement, half pleasurable, half painful, came over her, as she listened with a sense of being turned adrift into time and space, like a young balloon out on a holiday.","Louisa May Alcott, Little Women","metaphysics, philosophy"
The known universe always feels easier even when it's miserable.,"Kerry Kletter, The First Time She Drowned","known, misery, universe, unknown"
"To live in this world, I realized, is to leave pieces of your heart in various places; and to move toward any place is to move away from another.","Frederic S. Durbin, A Green and Ancient Light",coming-of-age
Ordinary life is fascinating when viewed with extraordinary perspective.,Angela Howell,"perspective, self-awareness, self-help-quotes"
"Another myth that is firmly upheld is that disabled people are dependent and non-disabled people are independent. No one is actually independent. This is a myth perpetuated by disablism and driven by capitalism - we are all actually interdependent. Chances are, disabled or not, you don’t grow all of your food. Chances are, you didn’t build the car, bike, wheelchair, subway, shoes, or bus that transports you. Chances are you didn’t construct your home. Chances are you didn’t sew your clothing (or make the fabric and thread used to sew it). The difference between the needs that many disabled people have and the needs of people who are not labelled as disabled is that non-disabled people have had their dependencies normalized. The world has been built to accommodate certain needs and call the people who need those things independent, while other needs are considered exceptional. Each of us relies on others every day. We all rely on one another for support, resources, and to meet our needs. We are all interdependent. This interdependence is not weakness; rather, it is a part of our humanity.",A.J. Withers,"disability, prejudice, sociology"
"He gave a nod. ""My future lies in your hands."" ""Not your future, Gerard, but the path leading to it,"" she suggested","Jettie Necole, Ruby","new-adult-paranormal-romance, regency-era, vampires, warlocks"
The world is a marketplace. We all are in business and what we areselling is our unique selves.,Ifeanyi Enoch Onuoha,"business, edge, ifeanyi-enoch-onuoha, sales, selling-point, uniqueness"
"The terrible thing, the almost impossible thing, is to hand over your whole self--all your wishes and precautions--to Christ. But it is far easier than what we are all trying to do instead. For what we are trying to do is to remain what we call ""ourselves,"" to keep personal happiness as our great aim in life, and yet at the same time be ""good.","C.S. Lewis, Mere Christianity","christianity, inspirational"
"Here at great expense,' [Colonel Groves] moaned to Oppenheimer, 'the government has assembled the world's largest collection of crackpots.","Steve Sheinkin, Bomb: The Race to Build—and Steal—the World's Most Dangerous Weapon","manhatttan-project, military, physics, science, world-war-two"
"Phineas didn't really dislike West Point in particular or authority in general, but just considered authority the necessary evil against which happiness was achieved by reaction, the backboard which returned all the insults he threw at it.","John Knowles, A Separate Peace",authority
Watch a movie that makes you laugh or listen to a song that makes you cry. Embrace your emotions and be proud of what you feel.,"Demi Lovato, Staying Strong: 365 Days a Year","cry, emotions, laugh, movie, song"
We have story-makers and we have writers apparently most of the today's writing falls into the first category.,"Pushpa Rana, Just the Way I Feel","feelings, stories, story, story-makers, writers, writing"
"It's emotions. Sometimes you feel, sometimes you don't. You can't force yourself into feeling something, can you?","Sarvesh Jain, The Awakening Wisdom of Life: Probably the best Quotation Book in the world",emotions
"In short, software is eating the world.",Marc Andreessen,"Short, World, Eating "
Sheer effort enables those with nothing to surpass those with priviledge and position.,Toyotomi Hideyoshi,"effort, hard-work, inspirational, life, position, priviledge, work-ethics"
Folks fall down all the time.. The key is to get back up ASAP,"Sereda Aleta Dailey, The Magnificent Weight Loss System","determination, self-esteem-or-lack-thereof, self-help, self-improvement"
Best be yourself  imperial  plain  and true!,Elizabeth Barrett Browning,"self, acceptance"
"In a library, no empty shelf remains empty for long.","Alberto Manguel, The Library at Night","books, library"
It was such a feeling of developing your inner self to the people who liked to dig deeper and deeper until you cannot fathom the deepest evil in you.,"Fernando Lachica, OFW: This is My Life and Story","ambition, filipino-worker, life, love, money, ofw, overseas"
"The truth, as much as people acted like they wanted to hear it, was sometimes too cruel and harsh.","Laura Kreitzer, Fallen Legion","angels, fallen-legion, fantasy, fiction, gabriella-moretti, timeless-series, truth, ya"
"I have often wondered how it is that every man loves himself more than all the rest of men, but yet sets less value on his own opinions of himself than on the opinions of others.",Marcus Aurelius,"Man, Value, Opinions "
"Bless all the women of this world who nurture our heritage while too many man rush off to kill for ideals that might now be deeply and personally held, but will often be viewed as repugnant by later generations.","Stephen Jay Gould, I Have Landed: The End of a Beginning in Natural History","generations-intelligence-wisdom, heritage, women"
"Dr. Bone Specialist came in, made me stand up and hobble across the room, checked my reflexes, and then made me lie down on the table. He bent my right knee this way and that, up and down, all the way out to the side and in. Then he did the same with my left leg. He ordered X rays then started to leave the room. I panicked. I MUST GET DRUGS.""What can I take for the pain?"" I asked him before he got out the door.""You can take some over the counter ibuprofen,"" he suggested. ""But I wouldn't take more than nine a day.""I choked. Nine a day? I'd been popping forty. Nine a day? Like hell. I couldn't even go to the bathroom on my own, I hadn't slept in three weeks, and my normally sunny cheery disposition had turned into that of a very rabid dog. If I didn't get good drugs and get them now, it was straight to Shooter's World and then Walgreens pharmacy for me.""I don't think you understand,"" I explained. ""I can't go to work. I have spent the last four days with my mother who is addicted to QVC, watching jewelry shows, doll shows and make-up shows. I almost ordered a beef-jerky maker! Give me something, or I'm going to use your calf muscles to make the first batch!""Without further ado, he hastily scribbled out a prescription for some codeine and was gone. I was happy.My mother, however, had lost the ability to speak.","Laurie Notaro, The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life","anger, back-pain, bedside-manner, daughter, doctor-patient-relationship, doctors, excruciating, family-relation, listening-skills, mother, pain, prescriptions, threats"
"Can you not see, […] that fairy tales in their essence are quite solid and straightforward; but that this everlasting fiction about modern life is in its nature essentially incredible? Folk-lore means that the soul is sane, but that the universe is wild and full of marvels. Realism means that the world is dull and full of routine, but that the soul is sick and screaming. The problem of the fairy tale is-what will a healthy man do with a fantastic world? The problem of the modern novel is-what will a madman do with a dull world? In the fairy tales the cosmos goes mad; but the hero does not go mad. In the modern novels the hero is mad before the book begins, and suffers from the harsh steadiness and cruel sanity of the cosmos. ",G.K. Chesterton,fairy-tales
The way to send a clear message that you are ready for better people in your life is the kick the rascals to the curb.,"Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life","evolve, growth, messages, moving-on, wisdom"
Be on guard. Stand firm in the faith. Be courageous. Be strong.,Corinthians 16:13,"bible, bible-quotes, inspirational"
"I try to make music with emotion and integrity. And authenticity. You can feel when something's authentic, and you can feel when it's not: you know when someone's trying to make the club record, or trying to make the girl record, or trying to make the thug record. It's none of that. It's just my emotions.",Jay-Z,"Integrity, Girl, Know "
"The Creator made women to please the eye, and to boggle the mind.","Robert Jordan, The Wheel of Time: Boxed Set",women
Ignorance is bliss up to the point that it kills you.,Jeffrey Fry,"bliss, ignorance, kills, point, up-to"
so that it may grow fatter and,"Virginia Woolf, A Room of One's Own",kindlehighlight
"You can do it now. You can't say you've never dated, because you have. A lot of people, actually.” Xander's gave her a mischievous grin. “You've leveled up, dearest. You're an expert on dating compared to Liv of six months ago.","Danika Stone, All the Feels","dating, leveling-up, liv, love, xander"
"If you think about it for a moment, destiny is not a synonym of circumstance.",Unarine Ramaru,"circumstances, destiny, fate, lifestyle, positivity, pursuit-of-happiness"
"With reporting, if you work hard, you can usually pull something out. But writing humor doesn't respond to working hard, necessarily. I mean, you could just sit there and look at the page all day and maybe something will come.",Ian Frazier,"Work, Day, Work Hard "
There's just so much to live for.,"Alex George, Setting Free the Kites","happiness, hope, life"
"But preserve your mistrust of the page, for a book is a fortress, a place of weeping, the key to a desert, a river that has no bridge, a garden of spears.","Sofia Samatar, A Stranger in Olondria",books
"Truly, my dear young friends, you are a chosen generation. I hope you will never forget it. I hope you will never take it for granted. I hope there will grow in your hearts an overpowering sense of gratitude to God, who has made it possible for you to come upon the earth in this marvelous season of the world's history.",Gordon B. Hinckley,"inspirational, religious"
Texas humor and Southern humor are pretty similar.,Daniel Woodrell,"Texas, Southern, Pretty "
"We had a great time hanging out with the nerdy girls of that suite and pretending to be so depressed and in pain. The problem was, you were never pretending","Marc Crepeaux, Letters Never Meant to be Read","inspirational, letters, life-lessons"
"The reason I was able to grow my business was that every day, after producing 30 minutes of wine television, I spent 15 hours a day replying to every single person's e-mail and every single person's Twitter @ reply.",Gary Vaynerchuk,"Day, Wine, Television "
"(Meanwhile, other people seem to be getting along with God just fine, very well indeed. Why not me?)",Lauren F. Winner,"doubt, faith, why"
"If all that one sees is a tiny speck of perspective in the larger scheme of things. And each perspective is made alive by the amalgamation of learning. And learning is a mere accumulation of skill and knowledge : both deriving from Truth. And Truth is not absolute but more of a figment of one's imagination made apparent to the senses. Then all, or for the most part, is fiction.","Nikhil Sharda, eFiction India Vol. 1 Issue 07","fiction, inspection, interesting-thought, writing"
It was great. Freedom even the imagined kind always is.,"Sarah Dessen, Just Listen",freedom
I'd rather be strongly wrong than weakly right.,Tallulah Bankhead,strong
I am full of mistakes and imperfections and therefore I am real ...,"Shaun Hick, The Ghost And Its Shadow","expectations, imperfect, imperfections, mistakes, real"
"Dead or alive, true leaders can inspire an entire army.",Peter Mohrbacher,"alive, dead, leader, spirit"
"Some truths are truths, no matter who says them.","Patricia Briggs, Raven's Strike","truth, truths"
"For me, Art is the restoration of order. It may discuss all sort of terrible things, but there must be satisfaction at the end. A little bit of hunger, but also satisfaction.",Toni Morrison,"art, desire, inspirational, satisfaction"
Learning to be present with an open heart for others is the best way to help them heal.,"Kathleen Prasad, 5 Powerful Meditations to Help Heal Your Animals","animal-reiki, healing, reiki"
"Common to all these types is the anthropomorphic character of their conception of God. In general, only individuals of exceptional endowments, and exceptionally high-minded communities, rise to any considerable extent above this level. But there is a third stage of religious experience which belongs to all of them, even though it is rarely found in a pure form: I shall call it cosmic religious feeling. It is very difficult to elucidate this feeling to anyone who is entirely without it, especially as there is no anthropomorphic conception of God corresponding to it.","Albert Einstein, The World As I See It","belief, god, religion"
"Iced tea! Nothing is half so refreshing as a glass of black tea piled high with ice! More than a quencher of thirst, it is a tamer of tempers, a lifter of lethargy, and a brightener of smiles. It is a taste of Winter’s chill, magically trapped in midsummer’s glass.","Paul F. Kortepeter, Tea with Victoria Rose","iced-tea, summer, tea"
"Whatever he does should be seen as working at the Presidency and if he goes to Colorado for Christmas, it should be for a minimum amount of time, the family tradition and family get-together aspect emphasized, and it be seen as a working vacation.",Robert Teeter,"Family, Time, Vacation "
One may have a blazing hearth in one's soul  and yet no one ever comes to sit by it.,Vincent van Gogh,loneliness
I only know how to read because I steal books from rich people.,"Natalie C. Anderson, City of Saints & Thieves","books, reading"
There are many things which can not be expressed by words. There are many words which can not be spelled by human tongue. There are many tongues which utter one single truth.,"Toba Beta, My Ancestor Was an Ancient Astronaut","expression, human, life, perception, tongue, truth, words"
Who begins too much accomplishes little.,German proverb,goals
It takes more than balls to be a woman. It takes ovaries.,Solange nicole,"bravery, feminist-quotes, humor, sexes, women-s-rights"
